13/08/2011	 2	19	1	2	A
13/08/2011	 6	 0	0	0	D
13/08/2011	 7	14	1	1	D
13/08/2011	10	 1	0	0	D
13/08/2011	12	 3	0	4	A
13/08/2011	18	11	1	1	D
14/08/2011	13	 4	0	0	D
14/08/2011	17	 9	1	2	A
15/08/2011	 8	15	4	0	H
20/08/2011	 1	 7	0	2	A
20/08/2011	 0	 2	3	1	H
20/08/2011	 4	17	2	1	H
20/08/2011	 5	12	0	1	A
20/08/2011	14	10	0	1	A
20/08/2011	15	18	0	0	D
21/08/2011	 3	 8	2	3	A
21/08/2011	11	13	1	1	D
21/08/2011	19	 6	2	0	H
22/08/2011	 9	16	3	0	H
27/08/2011	 0	19	0	0	D
27/08/2011	 2	 5	0	1	A
27/08/2011	 4	11	3	1	H
27/08/2011	 7	 3	3	1	H
27/08/2011	15	14	0	0	D
27/08/2011	18	12	2	0	H
28/08/2011	 9	 1	8	2	H
28/08/2011	10	 6	2	1	H
28/08/2011	16	 8	1	5	A
28/08/2011	17	13	0	1	A
10/09/2011	 1	15	1	0	H
10/09/2011	 3	 9	0	5	A
10/09/2011	 5	 0	2	2	D
10/09/2011	 8	18	3	0	H
10/09/2011	13	 7	1	0	H
10/09/2011	14	 4	1	2	A
10/09/2011	19	16	0	2	A
11/09/2011	 6	 2	1	1	D
11/09/2011	11	17	0	1	A
12/09/2011	12	10	0	0	D
17/09/2011	 0	10	1	1	D
17/09/2011	 2	 1	4	3	H
17/09/2011	 3	11	1	2	A
17/09/2011	 5	18	3	1	H
17/09/2011	15	17	3	0	H
17/09/2011	19	12	0	3	A
18/09/2011	 6	 8	2	2	D
18/09/2011	 9	 4	3	1	H
18/09/2011	14	13	4	0	H
18/09/2011	16	 7	4	0	H
24/09/2011	 1	 3	3	0	H
24/09/2011	 4	15	4	1	H
24/09/2011	 7	19	2	1	H
24/09/2011	 8	 5	2	0	H
24/09/2011	10	 2	3	1	H
24/09/2011	13	 9	1	1	D
24/09/2011	17	 6	0	0	D
24/09/2011	18	16	1	2	A
25/09/2011	12	 0	1	1	D
26/09/2011	11	14	2	1	H
01/10/2011	 0	18	2	0	H
01/10/2011	 2	 8	0	4	A
01/10/2011	 5	 7	0	2	A
01/10/2011	 9	11	2	0	H
01/10/2011	14	17	2	2	D
01/10/2011	19	10	1	2	A
02/10/2011	 3	 4	1	5	A
02/10/2011	 6	12	6	0	H
02/10/2011	15	13	2	0	H
02/10/2011	16	 1	2	1	H
15/10/2011	 4	 5	3	1	H
15/10/2011	 7	 9	1	1	D
15/10/2011	 8	 0	4	1	H
15/10/2011	11	15	3	1	H
15/10/2011	12	 2	1	1	D
15/10/2011	13	 6	2	0	H
15/10/2011	18	 3	1	3	A
16/10/2011	 1	14	2	1	H
16/10/2011	10	16	2	2	D
16/10/2011	17	19	2	0	H
22/10/2011	 0	17	1	2	A
22/10/2011	 3	14	0	2	A
22/10/2011	 7	11	1	1	D
22/10/2011	10	18	1	0	H
22/10/2011	19	15	2	2	D
23/10/2011	 1	13	3	1	H
23/10/2011	 2	16	1	2	A
23/10/2011	 6	 5	1	3	A
23/10/2011	 9	 8	1	6	A
23/10/2011	12	 4	1	0	H
29/10/2011	 4	 1	3	5	A
29/10/2011	 5	 9	0	1	A
29/10/2011	 8	19	3	1	H
29/10/2011	11 	 2	3	3	D
29/10/2011	14	 0	2	2	D
29/10/2011	15	 3	3	1	H
29/10/2011	17	 7	0	2	A
29/10/2011	18	 6	0	2	A
30/10/2011	16	12	3	1	H
31/10/2011	13	10	1	3	A
05/11/2011	 1	17	3	0	H
05/11/2011	 0	11	3	2	H
05/11/2011	 2	 4	0	1	A
05/11/2011	 7	15	0	0	D
05/11/2011	 9	14	1	0	H
05/11/2011	10	 5	2	1	H
05/11/2011	12	 8	2	3	A
06/11/2011	 3	13	5	0	H
06/11/2011	 6	16	1	3	A
06/11/2011	19	18	3	1	H
19/11/2011	 5	19	2	1	H
19/11/2011	 8	10	3	1	H
19/11/2011	11	 1	1	2	A
19/11/2011	13	12	2	3	A
19/11/2011	14	 6	0	0	D
19/11/2011	15	 9	0	1	A
19/11/2011	17	 3	2	1	H
19/11/2011	18	 2	3	3	D
20/11/2011	 4	 7	1	2	A
21/11/2011	16	 0	2	0	H
26/11/2011	 1	 6	1	1	D
26/11/2011	 3	 5	0	2	A
26/11/2011	 4	19	3	0	H
26/11/2011	 9	10	1	1	D
26/11/2011	11	12	2	1	H
26/11/2011	13	 2	3	1	H
26/11/2011	14	18	1	2	A
26/11/2011	17	16	1	3	A
27/11/2011	 7	 8	1	1	D
27/11/2011	15	 0	0	0	D
03/12/2011	 0	 9	0	1	A
03/12/2011	 2	15	4	2	H
03/12/2011	 8	11	5	1	H
03/12/2011	10	 4	0	3	A
03/12/2011	12	17	1	1	D
03/12/2011	16	 3	3	0	H
03/12/2011	18	 1	0	4	A
04/12/2011	 5	13	0	1	A
04/12/2011	19	14	2	1	H
05/12/2011	 6	 7	1	0	H
10/12/2011	 1	 5	1	0	H
10/12/2011	 3	 0	1	2	A
10/12/2011	 7	12	1	0	H
10/12/2011	 9	19	4	1	H
10/12/2011	11	10	4	2	H
10/12/2011	15	 6	2	0	H
10/12/2011	17	18	1	2	A
11/12/2011	13	16	2	1	H
11/12/2011	14	 2	2	1	H
12/12/2011	 4	 8	2	1	H
